NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT02968966,Pathophysiology Based Therapy of Early Onset Epileptic Encephalopathies,WITHDRAWN,Seizure  Epileptic,OTHER: Therapy regime,University Hospital Tuebingen,CHILD,PHASE2,0,Germany,2018,Academic,Other
NCT02229318,A Taste and Acceptance Study of FruitiVits in Children Aged 4-8 Years Following a Ketogenic Diet.,COMPLETED,Seizure Disorders,DIETARY_SUPPLEMENT: FruitiVits,Vitaflo InterNot SpecifiedtioNot Specifiedl  Ltd,CHILD,Not Specified,11,United States,2014,Industry,Completed
NCT06855901,Home Ultra-long Term EEG Monitoring for Rare Epilepsies and Developmental and Epileptic Encephalopathies,RECRUITING,Epilepsies|Epilepsies  Focal|Epileptic Encephalopathy,DEVICE: Ultra-longterm EEG monitoring at home by means of a scubscalp electrode implant.,Azienda Ospedaliero-Universitaria di ModeNot Specified,CHILD  ADULT  OLDER_ADULT,Not Specified,30,Italy,2024,Government/Other,Recruiting
NCT06143241,Cognitive Function and Glymphatic System in Children with Epilepsy,COMPLETED,Epilepsy|Cognitive Dysfunction|Seizure  Epileptic,DEVICE: Threshold IMT|DRUG: Antiepileptic medication,Ege University,CHILD,Not Specified,20,Turkey (TÃ¼rkiye),2024,Academic,Completed
NCT04572243,A Study of Lorcaserin as Adjunctive Treatment in Participants With Dravet Syndrome,TERMINot SpecifiedTED,Epilepsies  Myoclonic,DRUG: Placebo|DRUG: Lorcaserin,Eisai Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,22,United States,2020,Industry,Other
NCT01450423,Physical Exercise in Subjects With Juvenile Myoclonic Epilepsy,UNKNOWN,Epilepsy|Epilepsia|Epileptic Seizures|Seizure Disorder,BEHAVIORAL: Physical activity,Lars Bo Andersen,CHILD  ADULT,PHASE2,40,Denmark,2011,Government/Other,Other
NCT06550726,High-resolution Multi-parametric Magnetic ResoNot Specifiednce Imaging for Focal Epilepsy,RECRUITING,Epilepsies  Partial,DIAGNOSTIC_TEST: Magnetic ResoNot Specifiednce Imaging,Chinese University of Hong Kong,CHILD  ADULT  OLDER_ADULT,Not Specified,66,Hong Kong,2024,Academic,Recruiting
NCT05958069,The Efficacy and Safety of Minocycline in the Treatment of Drug-resistant Epilepsy in NORSE Patients,UNKNOWN,Epileptic Seizures Related to Drugs,DRUG: minocycline,Xijing Hospital,CHILD  ADULT  OLDER_ADULT,Not Specified,25,ChiNot Specified,2023,Academic,Other
NCT01745952,Treatment of Difficult to Control Focal Epilepsy With Repetitive Transcranial Magnetic Stimulation (rTMS),COMPLETED,Epilepsies  Partial,DEVICE: figure-of-eight active rTMS coil|DEVICE: round active rTMS coil|DEVICE: sham rTMS coil (figure-of-eight),Universitaire Ziekenhuizen KU Leuven,CHILD  ADULT  OLDER_ADULT,Not Specified,11,Belgium,2012,Government/Other,Completed
NCT03882151,Added Value of Automated Electrical Source Localization (EPILOG PreOpÂ®) to Presurgical Evaluation of Refractory Epilepsy,UNKNOWN,Epilepsies  Partial,DIAGNOSTIC_TEST: electrical source imaging,Cliniques universitaires Saint-Luc- UniversitÃ© Catholique de Louvain,CHILD  ADULT  OLDER_ADULT,Not Specified,30,Belgium,2019,Government/Other,Other
NCT00280696,A Double-blind Confirmatory Trial of Levetiracetam in Epilepsy Patients With Partial Onset Seizures,COMPLETED,Epilepsies  Partial,DRUG: Levetiracetam 250 mg|DRUG: Levetiracetam 500 mg|OTHER: Placebo,UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,352,Japan,2005,Industry,Completed
NCT00955357,Trial to Assess Lacosamide as the First add-on Anti-epileptic Drug Treatment in Patients With Partial-onset Seizures,COMPLETED,Partial Epilepsies,DRUG: Lacosamide,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE4,461,United States,2009,Industry,Completed
NCT05419180,Study of Interest of Stiripentol and Carbamazepine in the Treatment of Patients With Pharmacoresistant Focal Epilepsies,COMPLETED,Pharmacoresistant Focal Epilepsies,DRUG: Stiripentol,Biocodex,CHILD  ADULT  OLDER_ADULT,PHASE4,52,France,2022,Government/Other,Completed
NCT00212745,Pilot Trial of a Behavioral Treatment for Epilepsy,COMPLETED,Epilepsies  Partial,BEHAVIORAL: Andrews/Reiter behavioral treatment for epilepsy,Oregon Health and Science University,CHILD  ADULT,PHASE1/PHASE2,8,United States,2004,Academic,Completed
NCT06590896,Safety of Cenobamate in Japanese Subjects With Partial Onset Seizures,RECRUITING,Epilepsies  Partial,DRUG: Cenobamate,Ono Pharmaceutical Co.  Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE2,100,Japan,2022,Industry,Recruiting
NCT06967012,A Clinical Study on the Efficacy and Safety of Zonisamide as a First Add-On Treatment in Epileptic Seizures,RECRUITING,Epilepsies  Partial|Epilepsy  Tonic-Clonic,DRUG: Oral Zonisamide Therapy,Affiliated Hospital of Not Specifiedntong University,CHILD,PHASE4,30,ChiNot Specified,2024,Academic,Recruiting
NCT03024827,CanNot Specifiedbidiol in Children With Refractory Epileptic Encephalopathy,UNKNOWN,Epileptic Encephalopathy,DRUG: CanniMedÂ® 1:20,University of Saskatchewan,CHILD,PHASE1,20,CaNot Specifiedda,2017,Academic,Other
NCT00918047,Study of PK and Safety of OXC (Oxcarbazepine) XR (Extended Release) as Adjunctive Therapy in Pediatric Epilepsy Patients,COMPLETED,Epilepsies  Partial,DRUG: SPN-804O,Supernus Pharmaceuticals  Inc.,CHILD,PHASE1,18,United States,2009,Industry,Completed
NCT03807141,Evaluation of the Modified Atkins Diet in Children With Epileptic Spasms,UNKNOWN,Epileptic Spasms,OTHER: Modified Atkins diet,Lady Hardinge Medical College,CHILD,PHASE2/PHASE3,90,India,2019,Government/Other,Other
NCT00367432,A Long Term Follow up Administration Study of L059 (Levetiracetam) in Epilepsy Patients With Partial Onset Seizures,COMPLETED,Epilepsies|Partial,DRUG: Levetiracetam,UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,398,Japan,2006,Industry,Completed
NCT00422110,A Study to Evaluate the Efficacy and Safety of Seletracetam in Adult Patients With Refractory Partial Onset Seizures,WITHDRAWN,Epilepsies  Partial,DRUG: Seletracetam,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE2/PHASE3,0,,2008,Industry,Other
NCT03857074,Effects of Green Light Exposure on Epileptic Spikes in Patients With Refractory Epilepsy,UNKNOWN,Epilepsy|Epilepsy Intractable,DEVICE: Green Light Exposure,Boston Children's Hospital,CHILD  ADULT,Not Specified,16,United States,2019,Academic,Other
NCT07227857,A First-in-human Study of S230815 in Pediatric Participants With KCNT1-related Developmental and Epileptic Encephalopathy,RECRUITING,Epileptic Encephalopathy,DRUG: S230815- Starting dose A|DRUG: S230815- Dose B|DRUG: S230815- Dose C|DRUG: S230815- Dose D,Institut de Recherches InterNot SpecifiedtioNot Specifiedles Servier,CHILD,PHASE1/PHASE2,20,United States,2025,Government/Other,Recruiting
NCT06007053,Retraining and Control Therapy (ReACT) R33 Phase,RECRUITING,Convulsion  Non-Epileptic,BEHAVIORAL: ReACT|BEHAVIORAL: Supportive Therapy,University of Alabama at Birmingham,CHILD  ADULT,Not Specified,160,United States,2024,Academic,Recruiting
NCT00522275,Determine Safety and Efficacy of Long-term Oral Lacosamide in Patients With Partial Seizures,COMPLETED,Partial Epilepsies,DRUG: lacosamide,UCB BIOSCIENCES  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,308,United States,2004,Industry,Completed
NCT00437281,Safety  Tolerability  and Pharmacokinetic Study of Pregabalin in Pediatric Patients With Partial Onset Seizures,COMPLETED,Epilepsies  Partial,DRUG: Placebo|DRUG: Pregabalin,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,CHILD,PHASE1/PHASE2,65,United States,2007,Industry,Completed
NCT00448916,Open-Label Extension Study Of Safety And Tolerability Of Pregabalin In Pediatric Patients With Partial-Onset Seizures,COMPLETED,Epilepsies  Partial,DRUG: Pregabalin,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,CHILD,PHASE3,54,United States,2007,Industry,Completed
NCT00215215,Effectiveness Study Comparing Treatment With Drug(s) or Adjunctive VNS Therapy for Pharmacoresistant Partial Seizures,TERMINot SpecifiedTED,Epilepsies  Partial,DEVICE: Vagus Nerve Stimulation Therapy,Cyberonics  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE4,360,United States,2005,Industry,Other
NCT05096273,Retraining and Control Therapy (ReACT): Sense of Control and Symptom Expectations as Targets of a Treatment for PNES,RECRUITING,Convulsion  Non-Epileptic,BEHAVIORAL: ReACT,University of Alabama at Birmingham,CHILD  ADULT,Not Specified,68,United States,2021,Academic,Recruiting
NCT07281222,Evaluation of the FYNot Specified Research OPM MEG Device for Locating Epileptic Foci as Part of Pre-surgical Assessment of Epilepsy,NOT_YET_RECRUITING,Epilepsy,DEVICE: MEG OPM|DEVICE: MEG SQUID,Hospices Civils de Lyon,CHILD  ADULT  OLDER_ADULT,Not Specified,70,France,2026,Government/Other,Other
NCT00620555,A Phase III Open-Label Extension Study Of Gabapentin As Adjunctive Therapy In Japanese Pediatric Patients With Partial Seizures,COMPLETED,Epilepsies  Partial,DRUG: gabapentin,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,65,Japan,2008,Industry,Completed
NCT00603473,A Phase III Open-Label Study Of Gabapentin As Adjunctive Therapy In Japanese Pediatric Patients With Partial Seizures,COMPLETED,Epilepsies  Partial,DRUG: gabapentin,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,CHILD,PHASE3,92,Japan,2008,Industry,Completed
NCT00552305,To Determine Tolerability and Efficacy of Long-term Oral Lacosamide in Patients With Partial Seizures,COMPLETED,Partial Epilepsies,DRUG: lacosamide,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE2,370,United States,2001,Industry,Completed
NCT00151879,Safety and Tolerability of Intravenous SPM 927 as Replacement for Oral SPM 927 in Subjects With Partial Seizures,COMPLETED,Epilepsies  Partial,DRUG: SPM 927,UCB Pharma,CHILD  ADULT  OLDER_ADULT,PHASE2/PHASE3,160,United States,2005,Industry,Completed
NCT02801136,Treatment Outcomes of ReACT for PNES,COMPLETED,Convulsion  Non-Epileptic,BEHAVIORAL: ReACT|BEHAVIORAL: Supportive Therapy,University of Alabama at Birmingham,CHILD  ADULT,Not Specified,94,United States,2016,Academic,Completed
NCT00141336,To Evaluate the Long-Term Safety and Efficacy of Pregabalin in Patients With Partial Seizures.,COMPLETED,Seizure Disorder  Partial,DRUG: Pregabalin,Pfizer,CHILD  ADULT  OLDER_ADULT,PHASE3,750,United States,1999,Government/Other,Completed
NCT00210652,An Open-Label Extension Study to Evaluate the Safety and Effectiveness of RWJ 333369 in Patients With Epilepsy,COMPLETED,Epilepsy|Epilepsies  Partial,DRUG: RWJ 333369:,SK Life Science  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE2,47,,2004,Industry,Completed
NCT00067431,A Study of the Safety and Efficacy of Depakote Sprinkle Capsules in the Treatment of Partial Seizures in Children,TERMINot SpecifiedTED,Partial Seizure Disorder,DRUG: Divalproex Sodium (DepakoteÂ® Sprinkle Capsules),Abbott,CHILD,PHASE3,300,United States,2003,Government/Other,Other
NCT04284072,Clinical SceNot Specifiedrios for Long-term Monitoring of Epileptic Seizures With a Wearable Biopotential Technology,COMPLETED,Epilepsy,DEVICE: Sensor Dot,Universitaire Ziekenhuizen KU Leuven,CHILD  ADULT  OLDER_ADULT,Not Specified,496,Belgium,2020,Government/Other,Completed
NCT04158531,REC2Stim as a Treatment for Refractory Epilepsy in the Primary Sensorimotor Cortex.,UNKNOWN,Epileptic Seizure|Epilepsy Intractable|Motor Seizure,DEVICE: ECoG sensing and stimulation,UMC Utrecht,CHILD  ADULT  OLDER_ADULT,Not Specified,10,Netherlands,2019,Government/Other,Other
NCT01311440,Modified Atkins Diet Treatment for Adults With Drug-resistant Epilepsy,COMPLETED,Epilepsy|Focal Epilepsy|Generalized Epilepsy,OTHER: Modified Atkins diet treatment,Oslo University Hospital,CHILD  ADULT  OLDER_ADULT,Not Specified,75,Norway,2011,Academic,Completed
NCT03949478,Treating Postictal Symptoms Using Ibuprofen and Nifedipine,RECRUITING,Epilepsy|Epilepsies  Partial,DRUG: Ibuprofen|DRUG: Nifedipine|DRUG: Placebo,University of Calgary,CHILD  ADULT  OLDER_ADULT,PHASE2,90,CaNot Specifiedda,2021,Academic,Recruiting
NCT00050934,Pediatric Epilepsy Study,COMPLETED,Epilepsy|Epilepsies  Partial,DRUG: oxcarbazepine,Novartis Pharmaceuticals,CHILD,PHASE3,132,United States,2002,Industry,Completed
NCT03643016,Improving EPilepsy Surgery MaNot Specifiedgement and progNOsis Using Virtual Epileptic Patient Software (VEP),UNKNOWN,Epilepsy,OTHER: Surgical strategy based on a software,Assistance Publique Hopitaux De Marseille,CHILD  ADULT  OLDER_ADULT,Not Specified,356,France,2019,Government/Other,Other
NCT05015868,Contribution of Genetics  Non-invasive Methods and Neuropsychology in Focal Cryptogenic Epilepsies,COMPLETED,Epilepsies  Partial|Epilepsy Intractable,DIAGNOSTIC_TEST: Standard of care|DIAGNOSTIC_TEST: FunctioNot Specifiedl magnetic resoNot Specifiednce imaging-Electroencephalogram combined aNot Specifiedlysis|DIAGNOSTIC_TEST: High density- electroencephalogram or 7 Tesla magnetic resoNot Specifiednce imaging,IRCCS Eugenio Medea,CHILD  ADULT,Not Specified,5,Italy,2021,Government/Other,Completed
NCT02682927,A Trial of Two Fixed Doses of ZX008 (Fenfluramine HCl) in Children and Young Adults With Dravet Syndrome,COMPLETED,Dravet Syndrome|Seizure Disorder,DRUG: ZX008 (Fenfluramine Hydrochloride)|DRUG: Matching Placebo,Zogenix InterNot SpecifiedtioNot Specifiedl Limited  Inc.  a subsidiary of Zogenix  Inc.,CHILD  ADULT,PHASE3,262,United States,2016,Industry,Completed
NCT03551431,Comparison of Efficacy Between Suggestion Method During Video EEG Recording by Verbal Suggestion in Isolation and Verbal Suggestion Along With Cotton Swab or Tuning Fork for Inducing the Paroxysmal Event in Children Aged 5 to 18 Years With Suspected Psychogenic Nonepileptic Events,UNKNOWN,EEG  Psychogenic Non Epileptic Events,DIAGNOSTIC_TEST: Video EEG with verbal suggestion,All India Institute of Medical Sciences,CHILD  ADULT,Not Specified,25,,2018,Academic,Other
NCT05776745,Study of Speech Function in Epileptic Patients Based on Stereoelectroencephalography SigNot Specifiedl,UNKNOWN,Epilepsy,BEHAVIORAL: Speech|DEVICE: Stereoelectroencephalography,Second Affiliated Hospital  School of Medicine  Zhejiang University,CHILD  ADULT,Not Specified,5,ChiNot Specified,2022,Academic,Other
NCT04716673,Stimulation of Sleep in Patients With Epilepsy,UNKNOWN,Epilepsy,OTHER: Down-phase targeted auditory stimulation,University Children's Hospital  Zurich,CHILD  ADULT,Not Specified,120,Switzerland,2020,Academic,Other
NCT00522418,Study Comparing Best Medical Practice With or Without VNS Therapy in Pharmacoresistant Partial Epilepsy Patients,TERMINot SpecifiedTED,Epilepsy|Partial Epilepsy,DEVICE: Vagal Nerve Simulation (VNS) Therapy|DRUG: Best Medical Practive,Cyberonics  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE4,122,Belgium,2006,Industry,Other
NCT06898138,Acute Stimulation and Modulation of Stereotyped High-Frequency Oscillations,NOT_YET_RECRUITING,Epilepsy,DEVICE: Brain Interchange System,Mayo Clinic,CHILD  ADULT  OLDER_ADULT,Not Specified,8,United States,2026,Government/Other,Other
NCT04944641,Epilepsy Prevalence and Intervention Study in Zhejiang Province  ChiNot Specified,UNKNOWN,Epilepsy,BEHAVIORAL: education on epilepsy|DRUG: routine and proper antiepileptic drugs,Second Affiliated Hospital  School of Medicine  Zhejiang University,CHILD  ADULT  OLDER_ADULT,Not Specified,200,ChiNot Specified,2013,Academic,Other
NCT02358538,Open-Label PoC Trial of GaNot Specifiedxolone in Children With PCDH19 Female Pediatric Epilepsy and Other Rare Genetic Epilepsies,COMPLETED,Epilepsy,DRUG: GaNot Specifiedxolone,Marinus Pharmaceuticals,CHILD  ADULT,PHASE2,30,United States,2015,Industry,Completed
NCT06700811,Ketogenic Diet for Prevention of Epileptic Spasms in Infantile Onset Genetic Epilepsies,RECRUITING,Developmental and Epileptic Encephalopathies|Epileptic Spasms|Genetic Epilepsy|NeoNot Specifiedtal and Infant Epilepsy,DRUG: Ketogenic diet,Heather Olson,CHILD,PHASE1,10,United States,2025,Government/Other,Recruiting
NCT02318446,Efficacy Study of Folic Acid Supplementation in Adolescent Epileptics,UNKNOWN,Epilepsy,DRUG: Folic Acid|DRUG: Saccharine,Maharashtra University of Health Sciences,CHILD  ADULT,PHASE3,36,India,2015,Academic,Other
NCT06661759,Clinic-based and Technology-Supported Sleep Intervention for Pediatric Epilepsy,RECRUITING,Epilepsy,BEHAVIORAL: Clinic-based and technology-supported sleep intervention,Not SpecifiedtioNot Specifiedl Taiwan University Hospital,CHILD,Not Specified,150,Taiwan,2024,Academic,Recruiting
NCT06427967,A Novel Social EmotioNot Specifiedl Learning Curriculum for Youth With Epilepsy,COMPLETED,Epilepsy,BEHAVIORAL: Project Dream Team,Boston Medical Center,CHILD  ADULT,Not Specified,33,United States,2024,Government/Other,Completed
NCT04290975,Bridging the Childhood Epilepsy Treatment Gap in Africa,COMPLETED,Epilepsy,OTHER: Task-shifting epilepsy care to epilepsy-trained community health workers (CHWs)|OTHER: Enhanced usual care for epilepsy (EUC),Vanderbilt University Medical Center,CHILD,Not Specified,1672,Nigeria,2020,Academic,Completed
NCT02286986,CanNot Specifiedbidiol (CBD) to 27 Patients (Aged 2 Years - 19 Years) With Drug Resistant Epilepsy,COMPLETED,Epilepsy,DRUG: CanNot Specifiedbidiol,University of Utah,CHILD  ADULT,PHASE1,26,United States,2014,Academic,Completed
NCT07163585,Comparison of Oral Brivaracetam Versus Levetiracetam as Monotherapy in Epilepsy,COMPLETED,Epilepsy,DRUG: Brivaracetam|DRUG: Levetiracetam,RESnTEC  Institute of Research,CHILD,Not Specified,102,Pakistan,2024,Academic,Completed
NCT04569071,Clinical Trial of MgLiTT for Medical Refractory Epilepsy,UNKNOWN,Epilepsy,DEVICE: Sinovation Laser Ablation System,Beijing Tiantan Hospital,CHILD  ADULT  OLDER_ADULT,Not Specified,110,ChiNot Specified,2020,Academic,Other
NCT00236743,A Study of the Effectiveness and Safety of Topiramate in the Treatment of Children With Epilepsy,COMPLETED,Epilepsy|Epilepsies  Partial|Seizures,DRUG: topiramate,Johnson & Johnson Pharmaceutical Research & Development  L.L.C.,CHILD,PHASE3,90,,1994,Industry,Completed
NCT04782869,Transcranial Direct Current Electrical Stimulation (tDCS) in Drug-resistant Epilepsy,COMPLETED,Epilepsy,DEVICE: transcranial direct current stimulation,Assistance Publique Hopitaux De Marseille,CHILD  ADULT  OLDER_ADULT,Not Specified,17,France,2021,Government/Other,Completed
NCT06321822,Genetic Diagnosis and PersoNot Specifiedlized Medicine for Patients With Epilepsy,RECRUITING,Epilepsy,DIAGNOSTIC_TEST: Whole exome sequencing (WES),Fondazione IRCCS Ca' Granda  Ospedale Maggiore Policlinico,CHILD  ADULT  OLDER_ADULT,Not Specified,500,Italy,2021,Government/Other,Recruiting
NCT04144478,Web-Based Epilepsy Education Program for Adolescents and Parents,COMPLETED,Epilepsy,OTHER: Web based education,Suleyman Demirel University,CHILD  ADULT,Not Specified,140,Turkey (TÃ¼rkiye),2017,Academic,Completed
NCT06769659,A Study Evaluating NPT 2042 Versus Placebo in Subjects Aged 16-75 Years With Genetic Generalized Epilepsy (GGE) and Absence Seizures,RECRUITING,Epilepsy  Generalized|Epilepsy  Absence,DRUG: NPT 2042|OTHER: Placebo,NeuroPro Therapeutics  Inc.,CHILD  ADULT  OLDER_ADULT,PHASE2,10,United States,2025,Industry,Recruiting
NCT04383028,MELD as an Adjunct for SEEG Trajectories,UNKNOWN,Epilepsy|Epilepsy  Focal|Epilepsy  Refractory,PROCEDURE: MELD algorithm use to aid in the planning of SEEG electrode trajectories,Great Ormond Street Hospital for Children NHS Foundation Trust,CHILD  ADULT,Not Specified,20,United Kingdom,2020,Academic,Other
NCT02497105,Ketogenic Diet Program for Epilepsy,COMPLETED,Epilepsy,OTHER: Ketogenic Diet,Shriners Hospitals for Children,CHILD  ADULT,Not Specified,30,United States,2015,Academic,Completed
NCT06623994,Bridging the Treatment Gap by Expanding Access to Care for People With Epilepsy in Kenya (BEACON),RECRUITING,Epilepsy,BEHAVIORAL: Task sharing with Epilepsy Medical Record Systems,IndiaNot Specified University,CHILD  ADULT  OLDER_ADULT,Not Specified,650,Kenya,2025,Academic,Recruiting
NCT03939507,Outcome Study in Refractory Epilepsy (SOPHIE),COMPLETED,Epilepsy,OTHER: AEP score available to the treating physician,University of Pavia,CHILD  ADULT  OLDER_ADULT,Not Specified,1000,Italy,2006,Academic,Completed
NCT06034353,Impact of Pharmacist-led Cognitive Behavioral Intervention on Adherence and Quality of Life of Epileptic Patients,COMPLETED,Epilepsy,BEHAVIORAL: Pharmacist-led Cognitive Behavioral therapy,Hamdard University,CHILD  ADULT  OLDER_ADULT,Not Specified,385,Pakistan,2023,Academic,Completed
NCT02889627,Fecal Microbiota Transplantation for Epilepsy,UNKNOWN,Epilepsy,DRUG: Fecal microbiota suspension,The Second Hospital of Not Specifiednjing Medical University,CHILD  ADULT,PHASE2/PHASE3,50,ChiNot Specified,2016,Academic,Other
NCT06677034,Effects of Exercise on FunctioNot Specifiedl Performance  BDNF  Executive Functions and Sleep Quality in Children with Epilepsy,NOT_YET_RECRUITING,Epilepsy,OTHER: Exercise,Inonu University,CHILD,Not Specified,50,,2025,Academic,Other
NCT00851331,Genetic Basis of Idiopathic Focal Epilepsies With Cognitif Deficits,UNKNOWN,Epilepsy,GENETIC: genome aNot Specifiedlyzes (genetic defects and pathophysiological mechanisms ),University Hospital  Strasbourg  France,CHILD  ADULT  OLDER_ADULT,Not Specified,,France,1900,Academic,Other
NCT07497178,MRgFUS for Childhood Epilepsy,NOT_YET_RECRUITING,Drug Resistant Epilepsy|Epilepsy,PROCEDURE: Ablation,The Hospital for Sick Children,CHILD,Not Specified,20,,2026,Academic,Other
NCT03094793,Impact of Interictal Electroencephalographic Abnormalities on the Stability of Attention in the Epilepsies,COMPLETED,Epilepsy,OTHER: abnormal EEGs,University Hospital  Grenoble,CHILD  ADULT  OLDER_ADULT,Not Specified,162,France,2015,Academic,Completed
NCT03486366,Application of Novel Diagnostic and Therapeutical Methods in Epilepsy and Neurodevelopmental Abnormalities in Children.,UNKNOWN,Epilepsy,OTHER: non interventioNot Specifiedl trial,Medical University of Warsaw,CHILD,Not Specified,120,Poland,2017,Academic,Other
NCT04857307,A Study to Assess the Pharmacokinetics (PK) and Safety of Staccato Alprazolam in Adolescent Study Participants With Epilepsy,COMPLETED,Epilepsy,DRUG: Alprazolam,UCB Biopharma SRL,CHILD,PHASE1,14,United States,2021,Industry,Completed
NCT02925663,Web-based Intervention to Improve Executive Functioning in Teens With Epilepsy (Epilepsy Journey),COMPLETED,Epilepsy,BEHAVIORAL: EFI-E,Children's Hospital Medical Center  CincinNot Specifiedti,CHILD,PHASE2,32,,2016,Academic,Completed
NCT05660239,Impact of a Community Based Engagement Program Focused on Adolescents With Epilepsy,NOT_YET_RECRUITING,Epilepsy,OTHER: Community Intervention,Makerere University,CHILD  ADULT,Not Specified,70,,2024,Academic,Other
NCT03446664,Microburst Vagus Nerve Stimulator (VNS) Therapy Feasibility Study,COMPLETED,Epilepsies  Partial|Epilepsy  Tonic-Clonic,DEVICE: Microburst Stimulation,LivaNova,CHILD  ADULT  OLDER_ADULT,Not Specified,33,United States,2018,Government/Other,Completed
NCT03639233,Youth Epilepsy and Successful Self-MaNot Specifiedgement Intervention,COMPLETED,Epilepsy,BEHAVIORAL: YESS!,University of Minnesota,CHILD  ADULT,Not Specified,120,United States,2018,Academic,Completed
NCT06813612,Effect of Cognitive Behavioral Play Intervention and Epilepsy,RECRUITING,Epilepsy|Epilepsy in Children,BEHAVIORAL: cognitive behavioral play intervention,"IRCCS Not SpecifiedtioNot Specifiedl Neurological Institute ""C. Mondino"" Foundation",CHILD,Not Specified,52,Italy,2024,Academic,Recruiting
NCT01689649,A Study to Assess Tolerability and Efficacy of Topiramate Monotherapy in Recently Diagnosed Patients With Epilepsy,COMPLETED,Epilepsy,DRUG: Topiramate,Janssen Research & Development  LLC,CHILD  ADULT,PHASE4,139,VietNot Specifiedm,2008,Government/Other,Completed
NCT02193932,Electroencephalogram (EEG) Triggered FunctioNot Specifiedl Magnetic ResoNot Specifiednce Imaging (fMRI) in Epilepsy Patients,COMPLETED,Epilepsy,OTHER: EEG Triggered fMRI using Micro Maglink,Baptist Health South Florida,CHILD  ADULT  OLDER_ADULT,Not Specified,2,United States,2013,Government/Other,Completed
NCT05076838,Pharmacokinetics Study of VALTOCOÂ® in Pediatric Subjects With Epilepsy,COMPLETED,Epilepsy,DRUG: Diazepam Not Specifiedsal Spray [Valtoco],Neurelis  Inc.,CHILD,PHASE1/PHASE2,35,United States,2021,Industry,Completed
NCT02089243,Controlled Randomized Vagus Nerve Stimulation (VNS) Therapy Versus Resection (CoRaVNStiR),UNKNOWN,Epilepsy,PROCEDURE: Vagus nerve stimulation therapy|PROCEDURE: Resective surgery,Xijing Hospital,CHILD  ADULT,Not Specified,40,ChiNot Specified,2014,Academic,Other
NCT01851057,Supporting Treatment Adherence Regimens in Pediatric Epilepsy: The STAR Trial,COMPLETED,Epilepsy,BEHAVIORAL: STAR|BEHAVIORAL: Education Only,Children's Hospital Medical Center  CincinNot Specifiedti,CHILD,Not Specified,200,United States,2013,Academic,Completed
NCT04642105,Sensor-Dot and Plug 'n Patch Study in Epilepsy,COMPLETED,Epilepsy,DEVICE: Sensor-Dot and Plug 'n Patch system,Universitaire Ziekenhuizen KU Leuven,CHILD  ADULT  OLDER_ADULT,Not Specified,54,Belgium,2021,Government/Other,Completed
NCT00896987,Lamotrigine Cognitive Function Study in Adult Untreated Epilepsies,COMPLETED,Epilepsy,DRUG: lamotrigine (Lamictal)|DRUG: Carbamazepine (Tegretol),Korean Epilepsy Society,CHILD  ADULT,PHASE4,121,South Korea,2006,Government/Other,Completed
NCT03852303,Ivermectin Treatment of Persons With Onchocerciasis-associated Epilepsy,COMPLETED,Epilepsy,DRUG: ivermectin,Universiteit Antwerpen,CHILD  ADULT  OLDER_ADULT,PHASE4,197,Democratic Republic of the Congo,2017,Government/Other,Completed
NCT03738072,Intracerebral Electrical Stimulation and the Optimisation of Presurgical Planning in Drug-refractory Partial Epilepsy,RECRUITING,Epilepsy,DIAGNOSTIC_TEST: StiMiC stimulation condition,University Hospital  Toulouse,CHILD  ADULT  OLDER_ADULT,Not Specified,20,France,2018,Academic,Recruiting
NCT02349529,An Exploratory RCT of a Psychosocial Group Intervention for Epilepsy,UNKNOWN,Epilepsy,BEHAVIORAL: Psychosocial Intervention Group|OTHER: Waiting list control,NHS Greater Glasgow and Clyde,CHILD,Not Specified,200,,2015,Government/Other,Other
NCT04788628,Auditory Stimulation Effects on Sleep and Memory in Patients With Epilepsy,ENROLLING_BY_INVITATION,Epilepsy,OTHER: Baseline|OTHER: Motor procedural memory task|OTHER: Motor procedural memory task plus auditory stimulation,Massachusetts General Hospital,CHILD  ADULT  OLDER_ADULT,Not Specified,24,United States,2021,Academic,Other
NCT05635396,Seizures Detection in Real Life Setting,UNKNOWN,Epilepsy; Seizure|Focal Epilepsy,DEVICE: Wearable  non invasive sensor for seizure detection,Reliev Technologies,CHILD  ADULT  OLDER_ADULT,Not Specified,12,,2022,Government/Other,Other
