NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT00001554,Infrared Camera for Brain Mapping During Surgery,COMPLETED,Epilepsy|Neurologic Manifestations,DEVICE: intraoperative infrared (IR) neuroimaging,Not SpecifiedtioNot Specifiedl Institute of Neurological Disorders and Stroke (NINDS),CHILD  ADULT  OLDER_ADULT,PHASE1,80,United States,1996,Academic,Completed
NCT05364021,Study to Investigate LP352 in Subjects With Developmental and Epileptic Encephalopathies,COMPLETED,Developmental and Epileptic Encephalopathy|Dravet Syndrome|Lennox Gastaut Syndrome,DRUG: LP352|DRUG: Placebo,Longboard Pharmaceuticals,CHILD  ADULT  OLDER_ADULT,PHASE1/PHASE2,52,United States,2022,Industry,Completed
NCT05626634,Open-label  Long-term Safety Study of LP352 in Subjects With Developmental and Epileptic Encephalopathy,COMPLETED,Developmental and Epileptic Encephalopathy|Dravet Syndrome|Lennox-Gastaut Syndrome,DRUG: LP352  bexicaserin,Longboard Pharmaceuticals,CHILD  ADULT  OLDER_ADULT,PHASE2,41,United States,2022,Industry,Completed
NCT01407523,An Open Label Study of L059 Intravenous (IV) in Japanese Epilepsy Subjects With Partial Onset Seizures,COMPLETED,Epilepsy|Partial Onset Seizures,DRUG: Levetiracetam,UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE2,16,Japan,2011,Industry,Completed
NCT03536845,Vitamin D Supplementation to Prevent Vitamin D Deficiency for Children With Epilepsy,COMPLETED,Epilepsy|Vitamin D Deficiency,DRUG: Vitamin D 3,King Saud University,CHILD,PHASE3,116,Saudi Arabia,2018,Academic,Completed
NCT06212609,Optimized and PersoNot Specifiedlized Trans-cranial Brain Stimulation in Partial Refractory Epilepsies,RECRUITING,Transcranial Electric Stimulation|tDCS|Epilepsy|Pharmacoresistant|HR EEG|Children,OTHER: transcranial electrical stimulation therapy,Centre Hospitalier Universitaire  Amiens,CHILD  ADULT,Not Specified,20,France,2023,Academic,Recruiting
NCT04615442,ECV - Epihunter Clinical Validation,COMPLETED,Absence Seizures|Absence Epilepsy,DEVICE: Epihunter,Epihunter NV,CHILD  ADULT  OLDER_ADULT,Not Specified,102,United States,2020,Government/Other,Completed
NCT01070316,Everolimus (RAD001) Therapy for Epilepsy in Patients With Tuberous Sclerosis Complex (TSC),COMPLETED,Epilepsy|Tuberous Sclerosis Complex,DRUG: Everolimus,Children's Hospital Medical Center  CincinNot Specifiedti,CHILD  ADULT  OLDER_ADULT,PHASE1/PHASE2,20,United States,2010,Academic,Completed
NCT01161108,Trial of Melatonin to Improve Sleep in Children With Epilepsy and Neurodevelopmental Disabilities,COMPLETED,Epilepsy|Insomnia|Developmental Disability,DRUG: Fast Release Melatonin (FR MLT)|DRUG: Fast Release Placebo|DRUG: Timed Release Melatonin (TR MLT)|DRUG: Timed Release Placebo,The Hospital for Sick Children,CHILD,PHASE3,13,CaNot Specifiedda,2010,Academic,Completed
NCT06116279,First-in-human Experience Using Novel Ultraflexible Low-impedance Electrode Arrays: an IDEAL Stage 1 Study,UNKNOWN,Epilepsy|Focal Cortical Dysplasia,DEVICE: Insertion of electrode during planned neurosurgery for epilepsy,Great Ormond Street Hospital for Children NHS Foundation Trust,CHILD  ADULT,Not Specified,6,United Kingdom,2024,Academic,Other
NCT04076410,Efficacy of Lenses in Abolishing Photoparoxysmal Responses,ACTIVE_NOT_RECRUITING,Reflex Epilepsy  Photosensitive|Eyeglasses,DEVICE: Z1 lens|DEVICE: Experimental Lens 1|DEVICE: Experimental Lens 2|DEVICE: Experimental Lens 3|DEVICE: Experimental Lens 4,Aston University,CHILD  ADULT,Not Specified,28,United Kingdom,2021,Academic,Other
NCT03493607,AMO-01 to Treat Adolescents and Adults With Phelan-McDermid Syndrome (PMS) and Co-morbid Epilepsy,COMPLETED,Phelan-McDermid Syndrome|Epilepsy,DRUG: AMO-01,Alexander Kolevzon,CHILD  ADULT,PHASE2,6,United States,2018,Government/Other,Completed
NCT03676543,Mutual Interactions Between Absence Epilepsy Seizures and the Integration of Sensory Stimuli,TERMINot SpecifiedTED,Childhood or Juvenile Absence Epilepsy,PROCEDURE: Timed repetitive sensory stimulation,Fondation Ophtalmologique Adolphe de Rothschild,CHILD  ADULT,Not Specified,1,France,2018,Government/Other,Other
NCT03635073,A Study of Soticlestat in Adults and Children With Rare Epilepsies,TERMINot SpecifiedTED,Epilepsy|Dravet Syndrome (DS)|Lennox-Gastaut Syndrome (LGS),DRUG: Soticlestat,Takeda,CHILD  ADULT  OLDER_ADULT,PHASE2,156,United States,2018,Government/Other,Other
NCT01506882,An Open Label Study of Levetiracetam Monotherapy in Patients With Newly Diagnosed Focal Epilepsy,COMPLETED,Epilepsy|Partial Onset Seizures,DRUG: Levetiracetam (LEV),UCB Japan Co. Ltd.,CHILD  ADULT  OLDER_ADULT,PHASE3,71,Japan,2011,Industry,Completed
NCT05718817,An Open-label Study of XEN1101 in Epilepsy,ENROLLING_BY_INVITATION,Focal Epilepsy|Tonic-Clonic Seizures,DRUG: XEN1101,Xenon Pharmaceuticals Inc.,CHILD  ADULT  OLDER_ADULT,PHASE3,880,United States,2023,Industry,Other
NCT01378611,Does VNS Interact With the Serotonergic and Immune System in Children With Intractable Epilepsy?,UNKNOWN,Refractory Epilepsy in Children,DEVICE: Vagus Nerve Stimulator: Neurocybernetic prothesis NCP  Cyberonics Inc.  Webster  TX  USA,Epilepsiecentrum Kempenhaeghe,CHILD  ADULT,PHASE2/PHASE3,45,Netherlands,2006,Government/Other,Other
NCT06819670,A Study to Prevent Infantile Spasms Relapse,RECRUITING,Infantile Spasms|Infantile Epileptic Spasms Syndrome|West Syndrome,DRUG: Prednisolone|DRUG: Famotidine|DRUG: Placebo,University of California  Los Angeles,CHILD,PHASE2,40,United States,2025,Academic,Recruiting
NCT05437393,Children's Adaptive Deep Brain Stimulation for Epilepsy Trial (CADET): Pilot,COMPLETED,Epilepsy|Lennox-Gastaut Syndrome  Intractable,DEVICE: Deep brain stimulation,University College  London,CHILD,Not Specified,4,United Kingdom,2023,Academic,Completed
NCT04639310,XEN496 (Ezogabine) in Children With KCNQ2 Developmental and Epileptic Encephalopathy,TERMINot SpecifiedTED,Epilepsy|Epilepsy in Children|Epilepsy; Seizure|Disease|Brain Diseases|Central Nervous System Diseases|Nervous System Diseases|Epileptic Syndromes,DRUG: XEN496|DRUG: Placebo,Xenon Pharmaceuticals Inc.,CHILD,PHASE3,8,United States,2021,Industry,Other
NCT04937062,Phenylbutyrate for Monogenetic Developmental and Epileptic Encephalopathy,ACTIVE_NOT_RECRUITING,STXBP1 Encephalopathy With Epilepsy  SLC6A1 Neurodevelopmental Disorder|Developmental and Epileptic Encephalopathy,DRUG: Glycerol Phenylbutyrate 1100 MG/ML [Ravicti],Weill Medical College of Cornell University,CHILD,EARLY_PHASE1,50,United States,2021,Academic,Other
NCT04519645,A Study to Evaluate the Efficacy  Safety  and Pharmacokinetics of Lacosamide in NeoNot Specifiedtes With Repeated Electroencephalographic NeoNot Specifiedtal Seizures,TERMINot SpecifiedTED,Electroencephalographic NeoNot Specifiedtal Seizures|Epilepsy,DRUG: Lacosamide intravenous|DRUG: Lacosamide oral|OTHER: Active Comparator,UCB Biopharma SRL,CHILD,PHASE2,29,United States,2021,Industry,Other
NCT05297695,Helicobacter Pylori Eradication Therapy for Epileptic Children,COMPLETED,Epilepsy  Generalized|Helicobacter Pylori Infection,DRUG: Triple therapy for H. pylori infection,Sohag University,CHILD  ADULT,PHASE2/PHASE3,126,Egypt,2022,Academic,Completed
